Date,Dividends,Stock Splits
2018-04-23 00:00:00+07:00,0.0,2.0
2022-04-14 00:00:00+07:00,22.0,0.0
2023-04-27 00:00:00+07:00,57.99737,0.0
2024-03-27 00:00:00+07:00,72.0,0.0
